image,label,lesion_id
DEMO_0_0_0,0,L0_0
DEMO_0_0_1,0,L0_0
DEMO_0_1_0,0,L0_1
DEMO_0_1_1,0,L0_1
DEMO_0_2_0,0,L0_2
DEMO_0_2_1,0,L0_2
DEMO_0_3_0,0,L0_3
DEMO_0_3_1,0,L0_3
DEMO_1_0_0,1,L1_0
DEMO_1_0_1,1,L1_0
DEMO_1_1_0,1,L1_1
DEMO_1_1_1,1,L1_1
DEMO_1_2_0,1,L1_2
DEMO_1_2_1,1,L1_2
DEMO_1_3_0,1,L1_3
DEMO_1_3_1,1,L1_3
DEMO_2_0_0,2,L2_0
DEMO_2_0_1,2,L2_0
DEMO_2_1_0,2,L2_1
DEMO_2_1_1,2,L2_1
DEMO_2_2_0,2,L2_2
DEMO_2_2_1,2,L2_2
DEMO_2_3_0,2,L2_3
DEMO_2_3_1,2,L2_3
DEMO_3_0_0,3,L3_0
DEMO_3_0_1,3,L3_0
DEMO_3_1_0,3,L3_1
DEMO_3_1_1,3,L3_1
DEMO_3_2_0,3,L3_2
DEMO_3_2_1,3,L3_2
DEMO_3_3_0,3,L3_3
DEMO_3_3_1,3,L3_3
DEMO_4_0_0,4,L4_0
DEMO_4_0_1,4,L4_0
DEMO_4_1_0,4,L4_1
DEMO_4_1_1,4,L4_1
DEMO_4_2_0,4,L4_2
DEMO_4_2_1,4,L4_2
DEMO_4_3_0,4,L4_3
DEMO_4_3_1,4,L4_3
DEMO_5_0_0,5,L5_0
DEMO_5_0_1,5,L5_0
DEMO_5_1_0,5,L5_1
DEMO_5_1_1,5,L5_1
DEMO_5_2_0,5,L5_2
DEMO_5_2_1,5,L5_2
DEMO_5_3_0,5,L5_3
DEMO_5_3_1,5,L5_3
DEMO_6_0_0,6,L6_0
DEMO_6_0_1,6,L6_0
DEMO_6_1_0,6,L6_1
DEMO_6_1_1,6,L6_1
DEMO_6_2_0,6,L6_2
DEMO_6_2_1,6,L6_2
DEMO_6_3_0,6,L6_3
DEMO_6_3_1,6,L6_3
DEMO_7_0_0,7,L7_0
DEMO_7_0_1,7,L7_0
DEMO_7_1_0,7,L7_1
DEMO_7_1_1,7,L7_1
DEMO_7_2_0,7,L7_2
DEMO_7_2_1,7,L7_2
DEMO_7_3_0,7,L7_3
DEMO_7_3_1,7,L7_3
