,precision,recall,f1-score,support
MEL,0.6439942112879884,0.47746781115879827,0.5483672211953173,932.0
NV,0.8171679621493748,0.9131419939577039,0.8624933119315141,2648.0
BCC,0.6666666666666666,0.7755725190839695,0.7170077628793226,655.0
AK,0.2694610778443114,0.24324324324324326,0.2556818181818182,185.0
BKL,0.6147368421052631,0.5280289330922242,0.5680933852140078,553.0
DF,0.2903225806451613,0.25,0.26865671641791045,36.0
VASC,0.6666666666666666,0.8,0.7272727272727273,35.0
SCC,0.38461538461538464,0.14814814814814814,0.21390374331550802,135.0
accuracy,0.7269743193666731,0.7269743193666731,0.7269743193666731,0.7269743193666731
macro avg,0.5442039239976021,0.5169503310855109,0.5201845858010157,5179.0
weighted avg,0.7098354569615101,0.7269743193666731,0.712504459512417,5179.0
