threshold,tp,fp,fn,tn,recall,precision,specificity,fpr,f1,risk
0.0,932,4247,0,0,1.0,0.17995752075690288,0.0,1.0,0.3050237277041401,4247
0.05,640,757,292,3490,0.6866952789699571,0.4581245526127416,0.8217565340240169,0.17824346597598303,0.549592099613568,3677
0.1,583,574,349,3673,0.6255364806866953,0.5038893690579084,0.8648457734871674,0.1351542265128326,0.5581617999042604,4064
0.15,555,479,377,3768,0.5954935622317596,0.5367504835589942,0.887214504356016,0.11278549564398399,0.5645981688708036,4249
0.2,532,413,400,3834,0.5708154506437768,0.562962962962963,0.9027548858017425,0.0972451141982576,0.5668620138518913,4413
0.25,513,367,419,3880,0.5504291845493562,0.5829545454545455,0.9135860607487638,0.08641393925123617,0.5662251655629139,4557
0.3,501,333,431,3914,0.5375536480686696,0.6007194244604317,0.9215917117965623,0.07840828820343772,0.5673839184597962,4643
0.35,480,293,452,3954,0.5150214592274678,0.6209573091849935,0.9310101247939722,0.06898987520602778,0.563049853372434,4813
0.4,469,258,463,3989,0.5032188841201717,0.6451169188445667,0.9392512361667059,0.06074876383329409,0.5654008438818565,4888
0.45,449,239,483,4008,0.48175965665236054,0.6526162790697675,0.9437249823404756,0.05627501765952437,0.554320987654321,5069
0.5,436,220,496,4027,0.4678111587982833,0.6646341463414634,0.9481987285142454,0.05180127148575465,0.5491183879093199,5180
0.55,419,195,513,4052,0.44957081545064376,0.6824104234527687,0.9540852366376266,0.04591476336237344,0.5420439844760672,5325
0.6,400,181,532,4066,0.4291845493562232,0.6884681583476764,0.9573816811867201,0.04261831881327996,0.5287508261731659,5501
0.65,385,163,547,4084,0.4130901287553648,0.7025547445255474,0.9616199670355545,0.03838003296444549,0.5202702702702703,5633
0.7,367,143,565,4104,0.3937768240343348,0.7196078431372549,0.9663291735342595,0.03367082646574052,0.5090152565880721,5793
0.75,351,127,581,4120,0.37660944206008584,0.7343096234309623,0.9700965387332234,0.029903461266776548,0.49787234042553186,5937
0.8,329,113,603,4134,0.3530042918454936,0.744343891402715,0.9733929832823169,0.02660701671768307,0.47889374090247455,6143
0.85,313,94,619,4153,0.33583690987124465,0.769041769041769,0.9778667294560867,0.022133270543913352,0.46751306945481713,6284
0.9,289,68,643,4179,0.31008583690987124,0.8095238095238095,0.9839886979044031,0.016011302095596893,0.4484096198603569,6498
0.95,230,46,702,4201,0.24678111587982832,0.8333333333333334,0.9891688250529785,0.010831174947021427,0.3807947019867549,7066
1.0,0,0,932,4247,0.0,0.0,1.0,0.0,0.0,9320
